2015-05-19 13:49:29,462 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yitianyigexiangfa:firstNinjaProject:firstNinjaProject @ D:\GithubRep\JavaNinja\firstNinjaProject\pom.xml.
2015-05-19 13:49:37,196 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-19 13:49:37,217 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-05-19 13:49:37,218 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yitianyigexiangfa:firstNinjaProject:firstNinjaProject @ D:\GithubRep\JavaNinja\firstNinjaProject\pom.xml.
2015-05-19 13:49:37,231 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GithubRep\JavaNinja\firstNinjaProject\src\main\resources
2015-05-19 13:49:37,233 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-19 13:49:37,233 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GithubRep\JavaNinja\firstNinjaProject\src\test\resources
2015-05-19 13:49:38,296 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yitianyigexiangfa:firstNinjaProject:firstNinjaProject @ D:\GithubRep\JavaNinja\firstNinjaProject\pom.xml.
2015-05-19 13:49:39,588 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-19 13:49:39,592 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-05-19 13:49:39,600 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GithubRep\JavaNinja\firstNinjaProject\src\main\resources
2015-05-19 13:49:39,601 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-19 13:49:39,602 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GithubRep\JavaNinja\firstNinjaProject\src\test\resources
2015-05-19 13:49:41,582 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-19 13:49:41,584 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-05-19 13:49:41,585 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GithubRep\JavaNinja\firstNinjaProject\src\main\resources
2015-05-19 13:49:41,589 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-19 13:49:41,590 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GithubRep\JavaNinja\firstNinjaProject\src\test\resources
2015-05-20 10:36:04,434 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-05-20 10:36:17,547 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2015-05-20 10:38:00,207 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2015-05-20 10:42:04,329 [Worker-3] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\GithubRep\JavaNinja\firstNinjaProject
2015-05-20 10:42:04,330 [Worker-3] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -PninjaRun  -B ninja:run
2015-05-21 23:04:04,850 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yitianyigexiangfa:firstNinjaProject:firstNinjaProject @ E:\GitHubResp\JavaNinja\firstNinjaProject\pom.xml.
2015-05-21 23:04:14,538 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-21 23:04:14,553 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-05-21 23:04:14,573 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\main\resources
2015-05-21 23:04:14,576 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-21 23:04:14,577 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\test\resources
2015-05-21 23:04:18,282 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-21 23:04:18,291 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-05-21 23:04:18,292 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\main\resources
2015-05-21 23:04:18,294 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-21 23:04:18,295 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\test\resources
2015-05-21 23:21:03,589 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-21 23:21:03,598 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-05-21 23:21:03,604 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\main\resources
2015-05-21 23:21:03,607 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-21 23:21:03,607 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\test\resources
2015-05-24 22:32:33,556 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-05-24 22:32:59,260 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate - E:\GitHubResp\JavaNinja\firstNinjaProject
2015-05-24 22:32:59,260 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -PninjaRun  -B ninja:run
2015-05-24 22:39:31,446 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-24 22:39:31,478 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-05-24 22:39:31,493 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\main\resources
2015-05-24 22:39:31,493 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-24 22:39:31,493 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\test\resources
2015-05-24 22:39:32,586 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-24 22:39:32,586 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-05-24 22:39:32,586 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\main\resources
2015-05-24 22:39:32,586 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-24 22:39:32,601 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\test\resources
2015-05-24 22:39:43,302 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-24 22:39:43,302 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-24 22:39:43,302 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\main\resources
2015-05-24 22:39:43,318 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-24 22:39:43,318 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\test\resources
2015-05-24 22:40:06,929 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-24 22:40:06,929 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-05-24 22:40:06,929 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\main\resources
2015-05-24 22:40:06,929 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-24 22:40:06,929 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\GitHubResp\JavaNinja\firstNinjaProject\src\test\resources
